aapl-close,msi-close,sbux-close,aapl-open,msi-open,sbux-open
24.89855194091797,59.16447448730469,36.551795959472656,27.84749984741211,67.54000091552734,41.064998626708984
24.19711685180664,57.87461471557617,35.85163116455078,27.072500228881836,66.23999786376953,40.06999969482422
24.199399948120117,57.38536071777344,35.559906005859375,26.635000228881836,65.0,40.16999816894531
24.538728713989258,57.31418228149414,36.43510437011719,26.799999237060547,65.0,39.875
25.481557846069336,58.2037467956543,37.02305221557617,27.3075008392334,64.91000366210938,41.165000915527344
25.508888244628906,57.91908645629883,35.81123733520508,28.167499542236328,65.66999816894531,40.494998931884766
24.88033103942871,57.2430305480957,36.008724212646484,28.149999618530273,65.11000061035156,40.14500045776367
25.101242065429688,57.02953338623047,36.29597091674805,27.857500076293945,65.01000213623047,40.7400016784668
25.00558853149414,56.71818923950195,36.09400177001953,27.260000228881836,63.709999084472656,40.025001525878906
24.32692527770996,56.406837463378906,35.71699905395508,27.5,63.97999954223633,40.29999923706055
24.137907028198242,56.97616195678711,36.17927169799805,26.75749969482422,63.15999984741211,39.630001068115234
24.759626388549805,56.949466705322266,36.453060150146484,26.959999084472656,64.41999816894531,40.400001525878906
24.948652267456055,57.207435607910156,36.48447036743164,27.237499237060547,63.7599983215332,40.525001525878906
25.597705841064453,58.141483306884766,37.135250091552734,27.565000534057617,64.55999755859375,40.68000030517578
25.72978973388672,58.24822998046875,39.594791412353516,28.075000762939453,65.4000015258789,43.25
25.757123947143555,58.452816009521484,39.549903869628906,28.434999465942383,65.31999969482422,44.04499816894531
24.855283737182617,57.76786804199219,39.648643493652344,28.104999542236328,65.01000213623047,43.88999938964844
26.260419845581055,56.78935623168945,39.30304718017578,29.407499313354492,65.45999908447266,44.349998474121094
27.0779972076416,56.78045654296875,39.96730422973633,29.079999923706055,63.75,44.005001068115234
26.68173599243164,55.51728057861328,39.28508758544922,29.600000381469727,63.529998779296875,44.290000915527344
27.016510009765625,55.873104095458984,39.491554260253906,29.512500762939453,62.7400016784668,43.84000015258789
27.021060943603516,56.940582275390625,39.860931396484375,29.625,63.13999938964844,43.9900016784668
27.22830581665039,56.87830352783203,39.955528259277344,29.625,64.1500015258789,44.0
27.422645568847656,56.931678771972656,40.37895584106445,30.0049991607666,63.849998474121094,44.35499954223633
27.191726684570312,57.51879119873047,40.09065246582031,30.0049991607666,64.01000213623047,44.75
27.372344970703125,60.29419708251953,40.00957107543945,29.637500762939453,70.11000061035156,44.255001068115234
27.898208618164062,60.68560791015625,41.07265853881836,30.042499542236328,67.62000274658203,44.685001373291016
28.552112579345703,60.99695587158203,40.8969841003418,30.6924991607666,68.18000030517578,45.58000183105469
28.913358688354492,62.26902389526367,41.365455627441406,31.514999389648438,68.87000274658203,45.54499816894531
29.055112838745117,62.18896484375,41.25284194946289,31.81999969482422,69.98999786376953,45.994998931884766
29.22658920288086,62.08222198486328,41.455543518066406,31.872499465942383,69.66999816894531,45.8849983215332
29.430076599121094,61.486228942871094,41.892494201660156,31.907499313354492,69.63999938964844,46.19499969482422
29.368343353271484,61.40614318847656,41.96906661987305,32.119998931884766,69.37999725341797,46.57500076293945
29.60841178894043,62.1178092956543,42.122222900390625,32.154998779296875,68.94000244140625,46.72999954223633
30.408634185791016,61.05032730102539,42.15375518798828,32.505001068115234,69.8499984741211,46.92499923706055
30.2188720703125,60.961368560791016,42.09519577026367,33.23500061035156,68.54000091552734,46.630001068115234
29.446073532104492,60.50769805908203,42.46006393432617,32.88999938964844,68.4800033569336,46.650001525878906
29.818758010864258,60.907989501953125,42.590694427490234,32.1974983215332,68.11000061035156,47.150001525878906
29.370628356933594,60.43653869628906,42.11321258544922,32.5,68.29000091552734,47.39500045776367
29.51466941833496,61.281612396240234,42.4465446472168,32.3125,68.0,46.665000915527344
29.576406478881836,60.61444091796875,42.34294891357422,32.2400016784668,68.66000366210938,47.04999923706055
29.388917922973633,60.1696662902832,41.91950607299805,32.275001525878906,67.79000091552734,46.904998779296875
28.901926040649414,60.42763900756836,42.17627716064453,32.14500045776367,67.91000366210938,46.63999938964844
28.945363998413086,59.44022750854492,41.54113006591797,32.099998474121094,67.56999969482422,46.650001525878906
29.068830490112305,59.217838287353516,41.9105110168457,31.989999771118164,66.81999969482422,46.19499969482422
28.46751594543457,58.11480712890625,41.52310562133789,31.602500915527344,66.23999786376953,46.08000183105469
27.948511123657227,58.400936126708984,41.18077087402344,31.1875,65.33000183105469,46.060001373291016
28.453798294067383,58.08795928955078,42.06366729736328,30.577499389648438,64.72000122070312,45.98500061035156
28.257169723510742,57.94489288330078,42.02312088012695,31.100000381469727,65.01000213623047,46.34000015258789
28.568111419677734,58.892765045166016,42.3654670715332,30.969999313354492,64.95999908447266,47.0
29.04596519470215,58.409881591796875,42.518619537353516,31.475000381469727,65.44999694824219,46.880001068115234
29.37291717529297,59.59918975830078,43.171791076660156,31.75,65.08000183105469,47.0
29.151140213012695,59.321983337402344,44.03666687011719,32.1875,66.44999694824219,48.380001068115234
28.78531837463379,59.760128021240234,43.90152359008789,32.0625,66.54000091552734,49.244998931884766
29.084835052490234,59.48293685913086,43.860992431640625,31.780000686645508,66.76000213623047,48.939998626708984
28.965940475463867,59.2236213684082,44.10874557495117,31.8075008392334,66.61000061035156,48.55500030517578
28.209152221679688,58.43671417236328,43.14025115966797,31.635000228881836,66.20999908447266,49.06999969482422
28.405780792236328,58.499290466308594,42.82944869995117,30.690000534057617,64.93000030517578,47.67499923706055
28.179433822631836,58.46352767944336,42.82493591308594,31.142499923706055,65.38999938964844,47.5
